Name, Total Kills, Headshot Percentage, Total Deaths, Kill/Death Ratio,Damage Per Round, Grenade Damage Per Round, Maps Played, Rounds Played, Kills Per Round, Assists Per Round,Deaths Per Round, Saved By Teamates Per Round, Saved Teamates Per Round, KAST, Impact, Rating 2.0
flashie,10033,41.9,10555,0.95,72.3,3.8,585,15493,0.65,0.14,0.68,0.10,0.09,69.7,0.91,0.95
strux1,6648,36.3,6894,0.96,76.0,1.8,403,10276,0.65,0.14,0.67,0.09,0.09,65.2,0.82,0.95
arvid,15544,44.8,16550,0.94,73.2,4.4,889,23841,0.65,0.14,0.69,0.10,0.10,68.7,1.01,0.95
ecfN,7387,53.8,7858,0.94,75.1,3.1,426,11214,0.66,0.14,0.70,0.12,0.11,68.9,1.01,0.95
Karsa,7360,48.7,7650,0.96,70.5,3.7,457,11674,0.63,0.14,0.66,0.10,0.09,70.1,0.88,0.95
Inzta,12779,43.9,13628,0.94,72.5,2.6,754,19798,0.65,0.14,0.69,0.10,0.09,68.3,0.96,0.94
TOAO,18268,47.9,19236,0.95,69.6,4.7,1079,28771,0.63,0.12,0.67,0.09,0.08,68.4,0.97,0.99
Rock1nG,15257,55.3,16282,0.94,74.1,5.0,883,23271,0.66,0.14,0.70,0.10,0.09,69.0,1.01,1.01
uNdo,7217,54.3,7588,0.95,70.3,2.8,431,11262,0.64,0.12,0.67,0.08,0.09,68.5,0.89,0.94
nosraC,6752,51.0,7250,0.93,74.9,5.9,389,10272,0.66,0.14,0.71,0.09,0.08,68.0,1.05,1.01
vSa,6351,42.5,6673,0.95,70.6,2.8,385,10066,0.63,0.15,0.66,0.12,0.11,71.3,0.83,0.94
Fifflaren,7894,37.5,7934,0.99,91.7,6.2,538,13220,0.60,0.15,0.60,0.04,0.16,72.0,1.13,0.94
boX,21169,43.6,22464,0.94,75.2,5.9,1230,32754,0.65,0.16,0.69,0.10,0.08,69.1,1.11,1.04
kzy,16347,47.6,17186,0.95,72.6,4.8,983,25625,0.64,0.14,0.67,0.09,0.09,69.0,0.95,0.94
SileNt,10751,36.1,11539,0.93,70.9,2.6,624,16235,0.66,0.12,0.71,0.10,0.09,66.9,1.00,0.94
Twixie,11919,48.2,12635,0.94,71.9,5.2,690,18747,0.64,0.13,0.67,0.10,0.09,69.7,0.97,1.00
tonyblack,13828,48.6,14553,0.95,69.6,3.8,826,21699,0.64,0.13,0.67,0.08,0.08,68.4,0.91,0.94
Sidney,6594,50.4,6937,0.95,70.6,6.7,394,10632,0.62,0.14,0.65,0.10,0.09,69.9,0.91,0.99
matty,8454,40.1,8997,0.94,77.0,5.8,487,12886,0.66,0.17,0.70,0.10,0.11,68.8,1.02,0.94
rafftu,8502,51.9,9019,0.94,70.7,3.3,491,13172,0.65,0.13,0.68,0.12,0.11,70.2,0.95,1.00
arch,10295,49.0,10953,0.94,72.7,2.2,593,15530,0.66,0.13,0.71,0.10,0.10,68.9,0.92,0.94
interz,12410,50.1,12577,0.99,63.2,5.0,808,21495,0.58,0.12,0.59,0.10,0.10,73.3,0.80,0.99
tutehen,7111,46.3,7467,0.95,71.2,4.4,432,11167,0.64,0.14,0.67,0.11,0.11,70.1,0.92,0.94
EXUS,14529,42.6,15559,0.93,71.2,3.6,840,22388,0.65,0.13,0.69,0.10,0.09,67.2,1.02,0.94
RIZZZ,7027,52.0,7579,0.93,70.9,3.8,422,11051,0.64,0.13,0.69,0.12,0.11,70.3,0.94,1.00
LOMME,10221,42.5,10753,0.95,72.0,4.5,623,16172,0.63,0.15,0.66,0.10,0.09,70.6,0.92,0.94
Polly,7542,41.2,8087,0.93,63.9,3.0,451,11723,0.64,0.12,0.69,0.09,0.07,66.3,0.89,0.94
Ex6TenZ,22665,41.5,23729,0.96,74.8,4.0,1393,36352,0.62,0.15,0.65,0.09,0.08,69.3,1.01,0.94
ub1que,8319,41.8,8815,0.94,73.3,3.1,491,12691,0.66,0.13,0.69,0.09,0.09,68.7,0.94,0.94
DANZ,6569,42.4,7149,0.92,72.0,2.3,380,9912,0.66,0.13,0.72,0.09,0.10,65.9,0.94,0.94
Noisia,9682,43.7,10298,0.94,72.5,4.8,579,15033,0.64,0.14,0.69,0.09,0.08,69.1,0.93,0.99
Shakezullah,11972,42.8,12442,0.96,68.5,4.9,755,19596,0.61,0.12,0.63,0.10,0.08,70.9,0.89,1.00
ngiN,16499,45.3,17247,0.96,68.4,4.1,1025,26895,0.61,0.13,0.64,0.09,0.09,69.7,0.88,0.94
forget,7723,50.3,8457,0.91,75.3,4.3,442,11512,0.67,0.14,0.73,0.10,0.08,67.0,1.06,0.94
repo,8606,46.6,9263,0.93,69.3,3.7,503,13199,0.65,0.13,0.70,0.10,0.09,67.5,0.93,0.93
emi,17763,52.2,18986,0.94,72.3,5.6,1067,27762,0.64,0.15,0.68,0.12,0.10,71.0,0.98,0.93
Duplicate,13549,51.5,14578,0.93,72.4,6.4,804,21453,0.63,0.14,0.68,0.11,0.10,70.1,0.95,1.00
hutji,7719,48.4,8383,0.92,72.0,4.0,453,12010,0.64,0.14,0.70,0.10,0.10,67.6,0.96,0.93
neaLaN,17379,55.7,18705,0.93,73.9,4.7,1004,26781,0.65,0.14,0.70,0.09,0.09,67.7,1.00,1.00
