Name, Total Kills, Headshot Percentage, Total Deaths, Kill/Death Ratio,Damage Per Round, Grenade Damage Per Round, Maps Played, Rounds Played, Kills Per Round, Assists Per Round,Deaths Per Round, Saved By Teamates Per Round, Saved Teamates Per Round, KAST, Impact, Rating 2.0
splashske,14145,38.4,12334,1.15,78.5,3.5,722,18651,0.76,0.11,0.66,0.09,0.09,70.2,1.25,1.11
zorte,12625,36.9,10517,1.20,74.9,2.7,646,17217,0.73,0.09,0.61,0.09,0.11,72.4,1.16,1.15
oSee,19939,31.8,16746,1.19,76.9,2.9,1031,26770,0.74,0.11,0.63,0.11,0.13,73.1,1.14,1.15
CeRq,22183,27.9,18765,1.18,74.4,2.3,1160,30117,0.74,0.10,0.62,0.10,0.11,72.3,1.17,1.14
poizon,20839,33.6,17942,1.16,78.3,3.8,1062,28152,0.74,0.12,0.64,0.09,0.10,70.8,1.21,1.15
Brehze,22316,52.1,19566,1.14,80.6,2.5,1125,29299,0.76,0.12,0.67,0.10,0.12,72.1,1.15,1.11
ottoNd,16345,26.9,13799,1.18,76.3,3.3,837,22116,0.74,0.11,0.62,0.09,0.11,71.5,1.17,1.15
f0rest,40395,51.7,34695,1.16,76.5,3.7,2056,53433,0.76,0.12,0.65,0.09,0.10,70.6,1.07,1.11
Infinite,15725,50.8,13716,1.15,81.1,4.8,807,21069,0.75,0.14,0.65,0.10,0.11,72.6,1.18,1.16
FREDDyFROG,23641,40.3,20056,1.18,80.3,3.9,1202,32041,0.74,0.14,0.63,0.09,0.11,73.4,1.12,1.11
TenZ,7931,51.3,7092,1.12,82.4,3.2,401,10399,0.76,0.14,0.68,0.10,0.12,71.5,1.21,1.15
Olivia,12279,37.0,10714,1.15,78.5,2.4,634,16189,0.76,0.11,0.66,0.08,0.09,70.6,1.19,1.13
HEN1,19092,28.6,15669,1.22,74.8,3.8,1037,26952,0.71,0.12,0.58,0.08,0.09,73.0,1.09,1.10
mertz,19077,32.5,16483,1.16,77.4,2.4,955,25333,0.75,0.10,0.65,0.10,0.10,70.4,1.22,1.10
WARDELL,11627,27.2,9979,1.17,74.2,2.1,609,15901,0.73,0.10,0.63,0.09,0.10,70.9,1.19,1.13
ekul,8714,36.8,7735,1.13,80.2,2.9,442,11431,0.76,0.11,0.68,0.08,0.09,68.6,1.29,1.15
swag,10527,49.5,8898,1.18,77.6,4.7,556,14447,0.73,0.14,0.62,0.08,0.09,72.9,1.09,1.10
mir,19402,52.2,16868,1.15,81.3,5.0,980,25665,0.76,0.13,0.66,0.10,0.12,72.0,1.19,1.10
hades,9724,29.9,8235,1.18,74.7,2.3,489,13146,0.74,0.09,0.63,0.07,0.08,70.8,1.13,1.13
dexter,17742,48.7,15611,1.14,81.9,5.2,921,23653,0.75,0.14,0.66,0.09,0.10,71.7,1.20,1.10
Calyx,19558,56.7,16806,1.16,78.1,3.6,1022,26631,0.73,0.12,0.63,0.09,0.10,72.7,1.09,1.10
aliStair,18857,35.2,16126,1.17,76.3,3.4,1015,25808,0.73,0.12,0.62,0.09,0.08,71.3,1.21,1.15
Ax1Le,17332,49.1,14945,1.16,80.2,5.1,898,23825,0.73,0.14,0.63,0.09,0.10,72.3,1.15,1.15
h4rn,9708,29.2,8211,1.18,73.9,3.3,507,13498,0.72,0.10,0.61,0.09,0.09,71.8,1.11,1.13
xccurate,13236,31.2,11509,1.15,74.3,1.9,693,17966,0.74,0.10,0.64,0.10,0.10,71.1,1.14,1.10
moose,14503,44.1,12528,1.16,79.2,2.0,752,19559,0.74,0.12,0.64,0.08,0.09,71.5,1.12,1.14
Farlig,12571,33.4,10842,1.16,72.9,2.3,644,17189,0.73,0.09,0.63,0.09,0.10,70.1,1.15,1.12
electroNic,24717,50.6,21723,1.14,83.0,4.5,1255,33088,0.75,0.14,0.66,0.09,0.10,71.9,1.19,1.10
nawwk,15664,35.7,13321,1.18,73.5,2.8,799,21330,0.73,0.10,0.62,0.09,0.11,71.6,1.09,1.12
allu,31189,28.6,26876,1.16,75.0,3.7,1607,42077,0.74,0.11,0.64,0.08,0.09,69.9,1.13,1.09
mixwell,16275,38.1,14364,1.13,79.5,5.7,840,21804,0.75,0.13,0.66,0.10,0.10,71.2,1.22,1.09
PwnAlone,15869,32.0,13756,1.15,76.3,3.3,834,21787,0.73,0.12,0.63,0.09,0.10,71.9,1.17,1.14
dumau,7672,41.3,6534,1.17,79.2,4.6,393,10480,0.73,0.13,0.62,0.08,0.11,72.8,1.11,1.15
lollipop21k,23118,49.2,20619,1.12,82.2,3.7,1146,30677,0.75,0.13,0.67,0.09,0.10,72.2,1.13,1.14
HaZR,14163,55.9,12782,1.11,81.5,4.4,736,18825,0.75,0.14,0.68,0.11,0.11,71.8,1.20,1.15
cynic,11072,41.0,9633,1.15,81.0,5.4,574,14873,0.74,0.14,0.65,0.10,0.12,73.3,1.08,1.14
syrsoN,32099,29.7,27738,1.16,74.4,2.4,1655,43877,0.73,0.10,0.63,0.08,0.09,70.0,1.20,1.09
GeT_RiGhT,33271,49.3,28973,1.15,76.6,4.4,1745,45030,0.74,0.15,0.64,0.09,0.08,68.9,1.03,1.09
floppy,14755,49.4,13126,1.12,81.5,3.1,755,19833,0.74,0.14,0.66,0.11,0.14,73.3,1.14,1.15
JUGi,17527,27.8,14851,1.18,74.1,2.4,940,24427,0.72,0.10,0.61,0.08,0.10,72.0,1.13,1.09
Cooper,14041,32.2,12131,1.16,73.9,2.1,737,19116,0.73,0.09,0.63,0.09,0.10,71.2,1.13,1.12
Sonic,17758,46.6,15541,1.14,78.5,4.3,940,24238,0.73,0.13,0.64,0.11,0.12,72.4,1.14,1.09
zehN,20665,46.0,18281,1.13,80.3,7.7,1073,28305,0.73,0.14,0.65,0.08,0.09,71.6,1.10,1.09
ZOREE,31695,32.2,27259,1.16,73.7,3.7,1653,43900,0.72,0.10,0.62,0.08,0.10,70.7,1.11,1.09
dennyslaw,20401,31.7,17805,1.15,75.3,2.9,1033,27789,0.73,0.10,0.64,0.08,0.10,70.8,1.15,1.12
gas,8850,60.3,8155,1.09,82.3,2.1,435,11363,0.78,0.12,0.72,0.09,0.12,69.2,1.18,1.12
ryx,9797,36.3,8616,1.14,83.7,3.6,491,12856,0.76,0.16,0.67,0.09,0.12,72.7,1.11,1.09
BL1TZ,13957,43.0,12329,1.13,75.2,2.4,732,18819,0.74,0.10,0.66,0.08,0.09,69.2,1.15,1.10
biguzera,9762,51.9,8490,1.15,80.6,5.2,506,13472,0.72,0.15,0.63,0.10,0.10,72.9,1.13,1.15
ScreaM,27501,68.1,24396,1.13,79.1,3.3,1430,37087,0.74,0.12,0.66,0.10,0.11,71.1,1.11,1.09
faveN,25498,54.4,22473,1.13,78.8,3.3,1292,34464,0.74,0.12,0.65,0.10,0.12,72.3,1.13,1.14
nython,8165,39.0,7187,1.14,76.9,2.2,408,10895,0.75,0.11,0.66,0.10,0.10,71.0,1.18,1.13
junior,7971,29.3,6723,1.19,71.7,2.2,427,11174,0.71,0.09,0.60,0.08,0.10,71.5,1.09,1.11
NAF,28739,41.9,24944,1.15,81.3,5.7,1507,39562,0.73,0.16,0.63,0.10,0.11,73.2,1.10,1.09
dupreeh,36047,50.6,31689,1.14,77.6,3.2,1882,48983,0.74,0.14,0.65,0.09,0.09,71.6,1.15,1.09
valde,23890,46.8,21065,1.13,80.1,4.9,1223,32478,0.74,0.13,0.65,0.10,0.10,72.5,1.10,1.09
mezii,9057,49.5,7916,1.14,80.4,5.4,460,12514,0.72,0.14,0.63,0.09,0.12,73.5,1.08,1.14
nex,21063,51.5,18628,1.13,78.8,4.7,1074,28389,0.74,0.15,0.66,0.10,0.12,72.2,1.04,1.09
Attacker,23336,46.5,20684,1.13,79.6,2.3,1212,31160,0.75,0.14,0.66,0.11,0.12,73.1,1.13,1.09
Magisk,25488,47.5,22277,1.14,79.9,5.7,1340,35255,0.72,0.15,0.63,0.09,0.10,72.8,1.12,1.09
EliGE,30570,49.1,27704,1.10,83.5,4.1,1546,40514,0.75,0.15,0.68,0.10,0.12,71.2,1.24,1.08
k0nfig,29389,55.8,26959,1.09,81.1,2.8,1475,39014,0.75,0.13,0.69,0.10,0.10,69.8,1.20,1.08
Machinegun,7954,49.9,7277,1.09,81.4,3.1,410,10450,0.76,0.13,0.70,0.08,0.09,68.7,1.19,1.08
nukkye,11227,39.2,9897,1.13,78.3,2.6,592,15492,0.72,0.12,0.64,0.08,0.09,71.4,1.11,1.12
Summer,23036,48.8,20204,1.14,80.2,5.6,1219,31382,0.73,0.14,0.64,0.09,0.09,72.9,1.11,1.08
exit,11653,45.2,10019,1.16,78.3,4.8,634,16251,0.72,0.13,0.62,0.10,0.12,73.8,1.03,1.13
Hatz,16655,50.9,14615,1.14,77.8,5.0,905,23063,0.72,0.14,0.63,0.10,0.11,73.2,1.15,1.14
fer,26474,45.0,23891,1.11,83.0,4.9,1352,35255,0.75,0.15,0.68,0.09,0.08,71.3,1.22,1.08
Savage,15647,37.0,13721,1.14,78.2,5.5,836,21434,0.73,0.13,0.64,0.09,0.09,71.2,1.15,1.08
DJOXiC,9002,29.8,7798,1.15,73.0,2.9,489,12531,0.72,0.10,0.62,0.09,0.10,70.6,1.16,1.08
Detrony,7633,34.7,6771,1.13,77.4,4.4,412,10449,0.73,0.13,0.65,0.10,0.09,71.2,1.17,1.08
felps,19385,43.8,17781,1.09,84.6,3.5,992,25410,0.76,0.16,0.70,0.10,0.09,70.5,1.26,1.08
keev,11408,29.1,10191,1.12,73.6,2.8,594,15524,0.73,0.09,0.66,0.08,0.08,68.0,1.21,1.08
sergej,14855,48.2,13039,1.14,79.3,4.0,776,20425,0.73,0.14,0.64,0.10,0.11,72.3,1.12,1.13
FL1T,23559,47.0,20814,1.13,80.4,4.2,1191,32109,0.73,0.13,0.65,0.09,0.11,72.3,1.07,1.13
draken,20412,31.0,17833,1.14,74.5,2.1,1073,28320,0.72,0.10,0.63,0.08,0.08,70.1,1.17,1.08
ShahZaM,18509,34.0,16451,1.13,74.8,2.4,966,25252,0.73,0.10,0.65,0.09,0.10,70.0,1.16,1.08
Impulse,13706,35.8,12163,1.13,76.2,3.7,715,18983,0.72,0.12,0.64,0.10,0.11,71.3,1.12,1.12
meyern,7806,54.2,7082,1.10,77.2,3.4,411,10666,0.73,0.11,0.66,0.10,0.13,71.3,1.13,1.11
jayzaR,10382,36.3,9429,1.10,79.1,3.5,525,13870,0.75,0.12,0.68,0.09,0.10,70.0,1.21,1.08
ptr,20760,26.0,17994,1.15,73.5,3.4,1120,29335,0.71,0.11,0.61,0.09,0.10,71.5,1.12,1.08
MICHU,32870,50.5,29916,1.10,80.3,3.7,1678,43995,0.75,0.13,0.68,0.09,0.10,70.5,1.16,1.08
autimatic,21931,44.2,19658,1.12,79.6,3.8,1127,29442,0.74,0.13,0.67,0.10,0.10,71.6,1.12,1.08
trk,14199,48.2,12729,1.12,80.0,5.0,741,19405,0.73,0.15,0.66,0.12,0.13,73.9,1.13,1.15
hAdji,21293,49.0,19112,1.11,80.0,4.1,1100,28988,0.73,0.13,0.66,0.10,0.12,72.3,1.11,1.08
slaxz-,15629,29.5,13697,1.14,72.9,3.1,815,22023,0.71,0.10,0.62,0.09,0.09,71.0,1.14,1.11
YEKINDAR,20959,59.3,19512,1.07,82.9,3.9,1055,27993,0.75,0.13,0.70,0.09,0.09,68.7,1.29,1.14
shox,37833,48.9,33965,1.11,75.7,2.9,1963,51510,0.73,0.12,0.66,0.08,0.08,69.6,1.09,1.07
Rickeh,17401,37.6,15076,1.15,77.3,5.2,938,24573,0.71,0.13,0.61,0.08,0.09,72.7,1.14,1.07
pz,7087,29.7,6292,1.13,75.5,5.3,380,9935,0.71,0.11,0.63,0.10,0.09,70.5,1.15,1.12
hallzerk,14195,34.3,12780,1.11,74.2,3.0,719,19546,0.73,0.10,0.65,0.10,0.11,70.0,1.16,1.10
dapr,11313,44.1,10311,1.10,80.8,6.4,594,15426,0.73,0.15,0.67,0.10,0.11,71.3,1.16,1.13
NaToSaphiX,17805,36.8,15366,1.16,71.9,3.2,948,25338,0.70,0.10,0.61,0.09,0.10,72.5,1.06,1.07
InfrequeNt,8755,33.9,7811,1.12,76.4,4.2,467,12046,0.73,0.12,0.65,0.09,0.10,70.3,1.19,1.07
dycha,13760,54.3,12617,1.09,81.5,4.6,700,18770,0.73,0.14,0.67,0.09,0.09,70.4,1.17,1.13
CRUC1AL,26706,29.0,23913,1.12,74.0,2.6,1408,36905,0.72,0.10,0.65,0.10,0.11,70.1,1.16,1.07
NikoM,8720,46.2,7860,1.11,80.0,4.5,464,11903,0.73,0.15,0.66,0.10,0.11,72.2,1.09,1.07
Ryxxo,15209,32.8,13459,1.13,75.8,6.1,811,21294,0.71,0.12,0.63,0.09,0.10,71.4,1.12,1.07
hardzao,10825,47.1,9463,1.14,75.1,4.5,586,15383,0.70,0.12,0.62,0.10,0.10,73.1,1.05,1.11
jks,21654,52.8,19320,1.12,77.7,5.4,1176,30694,0.71,0.13,0.63,0.09,0.11,72.1,1.05,1.07
smike,9299,33.1,8644,1.08,75.6,1.4,480,12461,0.75,0.10,0.69,0.09,0.08,67.0,1.24,1.07
iDISBALANCE,15865,26.9,13888,1.14,73.9,2.5,840,22245,0.71,0.10,0.62,0.09,0.09,71.7,1.13,1.12
NikkeZ,7426,46.7,6839,1.09,83.0,4.4,383,9886,0.75,0.15,0.69,0.09,0.10,70.1,1.15,1.07
fejtZ,14344,46.0,13022,1.10,77.1,3.6,733,19457,0.74,0.12,0.67,0.10,0.13,72.0,1.09,1.07
xand,9681,50.2,8806,1.10,80.4,4.7,515,13210,0.73,0.14,0.67,0.10,0.10,71.7,1.12,1.07
paz,20217,51.2,18219,1.11,76.2,2.4,1068,27990,0.72,0.12,0.65,0.10,0.10,71.5,1.08,1.07
Liazz,16918,45.9,14972,1.13,78.2,4.6,936,24181,0.70,0.15,0.62,0.10,0.11,73.7,1.07,1.07
nicoodoz,11891,31.4,10393,1.14,71.1,3.1,624,16865,0.71,0.08,0.62,0.09,0.10,70.8,1.06,1.09
QKA,7642,40.3,6935,1.10,75.9,1.6,399,10332,0.74,0.10,0.67,0.08,0.09,69.5,1.16,1.10
fame,8752,57.8,7959,1.10,78.5,3.2,446,11945,0.73,0.11,0.67,0.08,0.11,70.7,1.16,1.12
EspiranTo,16973,59.9,15656,1.08,77.3,3.2,870,22795,0.74,0.11,0.69,0.10,0.10,70.3,1.16,1.11
boltz,22696,39.5,20182,1.12,82.2,8.8,1220,31742,0.72,0.17,0.64,0.08,0.09,72.2,1.09,1.07
WorldEdit,25226,28.0,22750,1.11,75.0,2.6,1328,34716,0.73,0.12,0.66,0.08,0.08,69.0,1.15,1.07
HObbit,21540,46.6,19378,1.11,80.2,5.6,1125,29679,0.73,0.15,0.65,0.08,0.09,71.5,1.13,1.07
shz,14620,51.2,13158,1.11,77.2,3.2,785,20350,0.72,0.13,0.65,0.10,0.11,71.8,1.05,1.10
somebody,23702,45.8,21561,1.10,79.9,3.5,1253,32437,0.73,0.13,0.66,0.10,0.09,71.6,1.16,1.07
shroud,12588,52.9,11277,1.12,76.1,3.9,676,17460,0.72,0.14,0.65,0.09,0.11,71.5,1.04,1.07
Pimp,18116,46.6,16100,1.13,78.3,3.9,976,25052,0.72,0.14,0.64,0.10,0.11,70.8,1.05,1.07
anarkez,12020,30.8,10856,1.11,73.3,2.3,624,16693,0.72,0.09,0.65,0.09,0.08,69.3,1.18,1.10
FalleN,27203,30.8,23674,1.15,71.8,3.5,1499,39201,0.69,0.11,0.60,0.08,0.08,71.8,1.08,1.07
Brollan,18465,52.5,16993,1.09,79.0,4.7,953,25344,0.73,0.13,0.67,0.09,0.10,70.6,1.17,1.12
DD,17323,41.9,15796,1.10,81.5,3.1,910,23543,0.74,0.16,0.67,0.11,0.10,72.8,1.13,1.07
snatchie,28990,29.3,26629,1.09,72.4,1.6,1495,40123,0.72,0.09,0.66,0.08,0.09,68.7,1.15,1.06
zhokiNg,22786,50.9,21316,1.07,84.0,3.8,1185,30249,0.75,0.17,0.70,0.12,0.10,72.7,1.28,1.06
ofnu,15793,48.9,14413,1.10,79.7,5.2,852,21778,0.73,0.15,0.66,0.10,0.10,71.4,1.11,1.06
AnJ,7530,50.7,6767,1.11,77.2,3.8,403,10503,0.72,0.12,0.64,0.09,0.12,71.7,1.09,1.06
Ethan,18853,49.4,17365,1.09,81.4,4.3,986,25998,0.73,0.15,0.67,0.11,0.11,72.1,1.18,1.14
tucks,12457,44.0,11176,1.11,76.3,4.0,689,17415,0.72,0.13,0.64,0.09,0.09,71.5,1.12,1.06
b4rtiN,8837,55.7,7980,1.11,75.1,3.7,473,12431,0.71,0.12,0.64,0.10,0.11,73.0,1.07,1.11
Happy,28022,41.2,25277,1.11,77.5,2.7,1464,37933,0.74,0.12,0.67,0.06,0.07,67.8,1.00,1.06
acoR,19475,38.1,17493,1.11,73.2,3.7,1057,27637,0.70,0.10,0.63,0.09,0.10,69.9,1.10,1.06
koosta,18087,37.4,16737,1.08,76.4,3.6,951,25077,0.72,0.12,0.67,0.09,0.10,69.5,1.13,1.06
COLDYY1,17902,55.1,16184,1.11,77.5,3.9,947,24917,0.72,0.13,0.65,0.09,0.11,71.5,1.07,1.06
b1t,7390,68.8,6650,1.11,76.1,4.4,396,10489,0.70,0.11,0.63,0.09,0.10,72.0,1.12,1.12
malbsMd,9482,62.9,9106,1.04,80.6,4.8,493,12557,0.76,0.12,0.73,0.11,0.11,68.9,1.20,1.10
broky,11413,39.2,10107,1.13,72.6,3.5,620,16499,0.69,0.10,0.61,0.10,0.11,72.3,1.00,1.09
chelo,14919,61.3,13724,1.09,77.8,3.5,810,20915,0.71,0.13,0.66,0.10,0.10,71.8,1.14,1.06
pancc,10776,53.6,10008,1.08,79.7,5.0,566,14889,0.72,0.14,0.67,0.09,0.10,70.3,1.15,1.11
SHiPZ,30636,50.3,28674,1.07,79.3,3.6,1557,41466,0.74,0.13,0.69,0.10,0.10,70.4,1.14,1.10
Skadoodle,18365,24.8,15907,1.15,67.5,2.7,1047,27129,0.68,0.11,0.59,0.09,0.09,73.1,0.95,1.06
Valiance,11056,52.3,10066,1.10,76.1,3.6,610,15757,0.70,0.14,0.64,0.10,0.11,72.4,1.05,1.10
flying,7505,50.5,6987,1.07,79.1,3.7,381,10193,0.74,0.12,0.69,0.09,0.10,70.8,1.08,1.09
SLOWLY,9491,59.6,8856,1.07,79.3,2.8,491,13014,0.73,0.13,0.68,0.10,0.11,71.8,1.14,1.12
roeJ,15601,55.9,14450,1.08,83.1,4.3,794,21040,0.74,0.15,0.69,0.11,0.11,71.8,1.20,1.15
Sobol,14074,52.1,12974,1.08,78.4,4.3,722,19553,0.72,0.13,0.66,0.08,0.08,70.7,1.07,1.09
suNny,25436,47.4,23829,1.07,80.7,4.9,1310,34532,0.74,0.14,0.69,0.09,0.09,70.0,1.14,1.06
Maka,21559,36.1,19563,1.10,74.7,4.6,1147,30452,0.71,0.11,0.64,0.09,0.08,69.8,1.15,1.10
TOR,8271,28.9,7614,1.09,77.0,2.9,452,11472,0.72,0.12,0.66,0.08,0.09,68.9,1.14,1.06
olofmeister,29037,46.6,26340,1.10,72.8,4.4,1559,40766,0.71,0.13,0.65,0.09,0.08,69.3,1.01,1.06
nexa,22684,51.0,20515,1.11,76.5,4.4,1224,32388,0.70,0.13,0.63,0.10,0.11,73.3,1.02,1.06
Gratisfaction,16191,31.9,14502,1.12,73.2,3.3,897,23347,0.69,0.12,0.62,0.10,0.10,70.8,1.14,1.05
REDSTAR,11529,48.3,10386,1.11,75.1,4.3,614,16301,0.71,0.12,0.64,0.10,0.10,71.6,1.08,1.10
sdy,18700,50.7,16837,1.11,77.1,4.2,1020,26754,0.70,0.13,0.63,0.10,0.11,72.6,1.04,1.11
KEi,12569,46.4,11930,1.05,82.9,4.8,629,16936,0.74,0.15,0.70,0.09,0.09,69.7,1.22,1.12
rallen,33466,43.0,30499,1.10,82.0,7.4,1741,46484,0.72,0.16,0.66,0.09,0.09,71.3,1.12,1.05
ISSAA,16229,55.5,14827,1.09,75.7,3.6,870,22834,0.71,0.12,0.65,0.10,0.11,72.1,1.06,1.05
tabseN,36194,48.8,34674,1.04,84.8,8.1,1873,49387,0.73,0.16,0.70,0.09,0.09,69.5,1.23,1.05
bottle,14262,56.8,13414,1.06,79.5,3.6,756,19492,0.73,0.14,0.69,0.10,0.10,71.0,1.11,1.05
Ramz1kBO$$,8110,33.8,7557,1.07,75.9,1.5,425,11070,0.73,0.10,0.68,0.07,0.08,67.2,1.20,1.09
HZ,9305,49.4,8614,1.08,81.7,3.8,500,12856,0.72,0.17,0.67,0.13,0.12,73.8,1.14,1.05
cajunb,31980,41.0,29096,1.10,73.5,3.1,1745,45680,0.70,0.12,0.64,0.09,0.10,70.1,1.02,1.05
Qikert,22518,56.4,20506,1.10,77.7,4.7,1211,31973,0.70,0.13,0.64,0.10,0.10,72.1,1.09,1.11
mou,28048,28.0,25564,1.10,73.9,4.0,1489,39475,0.71,0.11,0.65,0.08,0.09,69.7,1.13,1.05
KRIMZ,32244,40.7,29234,1.10,76.5,4.2,1745,45913,0.70,0.15,0.64,0.09,0.10,71.3,1.01,1.05
JW,36334,36.7,33930,1.07,75.8,4.0,1899,49846,0.73,0.14,0.68,0.08,0.08,67.6,1.15,1.05
TeSeS,14760,55.4,13788,1.07,78.4,4.5,768,20547,0.72,0.13,0.67,0.10,0.12,71.2,1.12,1.10
Rainwaker,18614,42.9,16989,1.10,77.3,4.5,989,26676,0.70,0.13,0.64,0.08,0.10,72.4,1.05,1.10
juanflatroo,10196,57.1,9825,1.04,82.9,5.3,504,13455,0.76,0.13,0.73,0.09,0.10,68.6,1.18,1.10
refrezh,17377,49.5,16017,1.08,75.4,3.3,922,24578,0.71,0.11,0.65,0.10,0.10,71.6,1.06,1.09
Grim,15731,48.1,15010,1.05,78.0,3.6,834,21955,0.72,0.14,0.68,0.12,0.13,71.6,1.11,1.10
yay,12452,46.7,11848,1.05,77.6,3.4,653,17182,0.72,0.13,0.69,0.10,0.11,69.9,1.16,1.05
Aerial,17607,41.5,16391,1.07,78.6,2.7,925,24543,0.72,0.15,0.67,0.11,0.11,72.5,1.13,1.11
WolfY,9122,35.0,8185,1.11,71.8,3.1,494,13078,0.70,0.10,0.63,0.10,0.11,71.6,1.07,1.09
SicK,15002,49.8,13962,1.07,77.7,2.6,795,20701,0.72,0.13,0.67,0.10,0.12,71.9,1.11,1.05
Bwills,12885,51.5,11965,1.08,78.7,6.2,700,18078,0.71,0.15,0.66,0.12,0.14,72.8,1.06,1.11
flusha,34156,42.1,31428,1.09,81.4,9.1,1837,48146,0.71,0.17,0.65,0.09,0.08,70.2,1.06,1.05
NEEX,8076,31.3,7502,1.08,71.5,1.6,429,11195,0.72,0.09,0.67,0.08,0.10,68.2,1.09,1.05
zeph,9663,50.0,9201,1.05,80.3,3.9,516,13136,0.74,0.14,0.70,0.10,0.10,69.3,1.20,1.11
loWel,18549,47.5,16810,1.10,75.8,4.5,1008,26413,0.70,0.13,0.64,0.09,0.11,73.1,0.97,1.05
iM,14058,49.2,13400,1.05,82.1,3.7,711,19092,0.74,0.13,0.70,0.09,0.09,69.7,1.17,1.11
Flarich,19389,55.2,17588,1.10,74.1,3.7,1058,28161,0.69,0.11,0.62,0.08,0.10,71.6,0.98,1.07
raafa,11650,27.4,10558,1.10,72.4,3.7,640,16832,0.69,0.11,0.63,0.07,0.08,69.1,1.08,1.07
Zellsis,11657,46.4,10854,1.07,79.2,4.8,626,16210,0.72,0.15,0.67,0.10,0.11,71.5,1.11,1.11
rommi,9899,50.8,9295,1.06,81.1,3.7,516,13467,0.74,0.14,0.69,0.08,0.10,69.7,1.05,1.05
cadiaN,25984,27.7,23558,1.10,73.5,4.6,1412,37330,0.70,0.11,0.63,0.09,0.08,70.4,1.12,1.05
MarKE,16738,53.1,15379,1.09,79.0,5.2,925,23802,0.70,0.15,0.65,0.11,0.12,72.9,1.10,1.12
n0rb3r7,19390,50.8,18555,1.05,79.9,4.1,1004,26877,0.72,0.13,0.69,0.08,0.07,68.3,1.16,1.09
kabal,13822,46.0,12751,1.08,77.9,4.6,742,19456,0.71,0.13,0.66,0.08,0.09,71.0,1.06,1.09
afro,9133,35.9,8404,1.09,72.3,5.5,496,13220,0.69,0.11,0.64,0.09,0.09,69.9,1.11,1.08
DavCost,22765,32.4,20921,1.09,73.9,3.2,1230,32421,0.70,0.12,0.65,0.09,0.09,69.8,1.09,1.04
stavn,20462,43.2,19203,1.07,80.9,4.0,1057,28194,0.73,0.14,0.68,0.10,0.10,70.5,1.14,1.11
Kjaerbye,28410,52.9,26300,1.08,78.6,3.9,1519,39947,0.71,0.14,0.66,0.09,0.10,70.1,1.10,1.04
motm,15832,51.5,14947,1.06,75.9,2.9,832,21934,0.72,0.11,0.68,0.11,0.12,70.8,1.10,1.09
aumaN,15613,41.7,14419,1.08,81.1,5.8,856,21958,0.71,0.16,0.66,0.08,0.08,71.2,1.11,1.04
fnx,11067,49.9,10215,1.08,81.0,6.0,605,15482,0.71,0.16,0.66,0.09,0.09,72.1,1.09,1.04
KHTEX,10823,45.5,9900,1.09,75.5,4.3,598,15414,0.70,0.13,0.64,0.09,0.11,71.8,1.05,1.09
Marcelious,8629,31.1,8072,1.07,73.7,3.1,451,12207,0.71,0.10,0.66,0.10,0.11,69.2,1.09,1.07
malta,16643,39.5,15316,1.09,77.0,3.6,943,24008,0.69,0.15,0.64,0.09,0.08,71.9,1.08,1.10
zewsy,11142,41.0,10475,1.06,79.0,3.4,618,15666,0.71,0.16,0.67,0.11,0.10,72.0,1.11,1.04
STOMP,15139,26.1,13810,1.10,73.3,3.9,809,21729,0.70,0.11,0.64,0.08,0.09,69.7,1.11,1.09
twist,30970,41.2,29139,1.06,77.1,4.9,1641,43418,0.71,0.14,0.67,0.09,0.09,69.8,1.10,1.04
buster,21979,48.0,19929,1.10,73.8,3.5,1217,32117,0.68,0.12,0.62,0.08,0.09,72.1,1.04,1.09
Maden,11460,52.0,11024,1.04,80.4,5.4,587,15640,0.73,0.14,0.70,0.09,0.10,68.7,1.19,1.09
Snakes,7287,43.3,6826,1.07,77.3,4.5,403,10328,0.71,0.13,0.66,0.11,0.10,71.4,1.06,1.09
Hiko,16611,53.9,15079,1.10,71.6,5.0,937,24398,0.68,0.14,0.62,0.10,0.11,71.8,0.90,1.04
Snax,39043,36.5,36237,1.08,74.8,4.4,2100,55397,0.70,0.13,0.65,0.08,0.08,69.0,1.07,1.04
Geniuss,7345,56.4,7036,1.04,78.5,3.3,398,10155,0.72,0.13,0.69,0.11,0.11,71.6,1.17,1.11
Lucky,8079,40.5,7409,1.09,70.8,2.8,434,11721,0.69,0.09,0.63,0.09,0.10,69.7,1.05,1.07
HSK,9678,31.1,8833,1.10,75.2,4.5,540,13851,0.70,0.14,0.64,0.12,0.12,72.5,1.09,1.04
eraa,9677,32.8,9047,1.07,73.7,3.3,501,13613,0.71,0.10,0.66,0.09,0.09,68.7,1.09,1.06
jkaem,23532,51.7,22518,1.05,79.8,3.6,1224,32291,0.73,0.14,0.70,0.11,0.11,70.4,1.16,1.04
Kntz,8750,47.3,8114,1.08,76.0,2.7,479,12317,0.71,0.12,0.66,0.10,0.11,72.2,0.99,1.08
Bubzkji,15534,50.8,14571,1.07,80.4,5.4,817,21619,0.72,0.14,0.67,0.09,0.10,70.0,1.11,1.04
Lucky,20840,41.6,19320,1.08,77.2,6.5,1129,30121,0.69,0.14,0.64,0.10,0.10,71.6,1.06,1.10
imoRR,10902,50.8,10663,1.02,80.6,4.3,559,14904,0.73,0.13,0.72,0.10,0.09,68.6,1.28,1.11
